,mu,mu_star,sigma,mu_star_conf
O2 + nC4H7 <=> C4H6 + HO2,1.1052645901290666e-07,2.797782738519197e-07,3.8430284176996555e-07,1.7951653261500995e-07
nC4H7 + M <=> C3H4 + CH3 + M,2.6552094799333258e-08,2.74024471606629e-07,3.313055139458385e-07,1.0254180455030953e-07
nC4H7 + M <=> C2H3 + C2H4 + M,-5.5409172206127663e-08,3.457624678557658e-07,4.5422303123753396e-07,2.118963288564789e-07
nC4H7 + M <=> C4H6 + H + M,4.189517611117579e-08,1.7666759523840011e-07,2.554714550357353e-07,1.3875528419740667e-07
C2H5 + nC4H7 <=> C2H4 + C4H8,-4.232795678593335e-08,2.6752660235095875e-07,4.1942976079409436e-07,2.2305380653778793e-07
C4H8 <=> H + nC4H7,-9.014770542867229e-08,4.491085781971704e-07,5.987819493991336e-07,2.596890138472644e-07
C4H8 <=> C3H5 + CH3,2.749459997085965e-07,3.328493598377726e-07,4.2243780543602614e-07,2.631862796126411e-07
C2H3 + C2H5 => C4H8,1.4912329017737095e-07,3.496138542503277e-07,3.9884695281341374e-07,1.4896337968296024e-07
C3H5 + C4H8 <=> C3H6 + nC4H7,-1.3394078636287234e-07,3.979742178016964e-07,5.00924744274967e-07,2.0388742745117379e-07
C4H8 + H <=> H2 + nC4H7,2.724605399271075e-07,4.6515835113039253e-07,7.734522707565623e-07,5.069764181486834e-07
C4H8 + HO2 <=> H2O2 + nC4H7,3.6571630349838784e-07,3.6571630349838784e-07,3.121747914013381e-07,2.662661998382039e-07
